Variable,Correlation_with_Price
price_per_unit,0.6029279156722973
gross_square_feet,0.5937742478730569
floor_area_ratio,0.5089986196075372
price_per_sqft,0.43609966075655754
tax_class_at_time_of_sale,0.40931686827516744
residential_units,0.13704393787904548
building_age,0.13511409334830415
total_units,0.11359481061640125
land_square_feet,0.04619550801169928
commercial_units,0.015711627019749097
has_units,-0.03178482490645488
zip_code,-0.09259591838235384
year_built,-0.13504803019216619
is_residential,-0.27017858501474445
